method,condition,alpha,kext,margin,nq
RR,supp_expr,-1.0,0.352112676056338,-5.065560340881348,71
RR,supp_expr,0.0,0.19248826291079815,-5.193585395812988,71
RR,supp_expr,0.5,0.27699530516431914,-4.735814094543457,71
RR,supp_expr,1.0,0.3990610328638497,-4.243453025817871,71
RR,supp_expr,2.0,0.48356807511737093,-3.438889265060425,71
RR,supp_dS,-1.0,0.4741784037558685,-2.4464142322540283,71
RR,supp_dS,0.0,0.19248826291079815,-5.193585395812988,71
RR,supp_dS,0.5,0.40375586854460094,-4.860289573669434,71
RR,supp_dS,1.0,0.488262910798122,-2.5314149856567383,71
RR,supp_dS,2.0,0.46948356807511743,-0.13259242475032806,71
RR,supp_random,-1.0,0.22065727699530518,-5.058942794799805,71
RR,supp_random,0.0,0.19248826291079815,-5.193585395812988,71
RR,supp_random,0.5,0.20657276995305165,-5.243807315826416,71
RR,supp_random,1.0,0.22535211267605634,-5.316728591918945,71
RR,supp_random,2.0,0.2535211267605633,-5.4085845947265625,71
RR,forg_expr,-1.0,0.30303030303030304,-6.9660868644714355,11
RR,forg_expr,0.0,0.1818181818181818,-6.3674540519714355,11
RR,forg_expr,0.5,0.2121212121212121,-5.676669120788574,11
RR,forg_expr,1.0,0.4242424242424242,-5.075639247894287,11
RR,forg_expr,2.0,0.4848484848484848,-4.174715995788574,11
