method,condition,alpha,kext,margin,nq
RMU-LAT,supp_dS,-4.0,0.40404040404040403,-0.3024384379386902,66
RMU-LAT,supp_dS,-2.0,0.5656565656565657,1.2261630296707153,66
RMU-LAT,supp_dS,-1.0,0.4949494949494949,1.026990532875061,66
RMU-LAT,supp_dS,0.0,0.1464646464646465,-2.6368963718414307,66
RMU-LAT,supp_dS,0.5,0.42424242424242414,-2.940577745437622,66
RMU-LAT,supp_dS,1.0,0.38888888888888884,-3.185250997543335,66
RMU-LAT,supp_dS,2.0,0.4343434343434343,-2.5453362464904785,66
RMU-LAT,supp_dS,4.0,0.44949494949494945,-0.013494318351149559,66
RMU-LAT,supp_dS,8.0,0.3484848484848485,0.8880800008773804,66
RMU-LAT,supp_random,-4.0,0.44949494949494945,-1.8114938735961914,66
RMU-LAT,supp_random,-2.0,0.3434343434343434,-0.580078125,66
RMU-LAT,supp_random,-1.0,0.38888888888888884,-1.8744081258773804,66
RMU-LAT,supp_random,0.0,0.1464646464646465,-2.6368963718414307,66
RMU-LAT,supp_random,0.5,0.23737373737373738,-3.37245512008667,66
RMU-LAT,supp_random,1.0,0.36363636363636365,-3.3564674854278564,66
RMU-LAT,supp_random,2.0,0.5303030303030304,-1.7165143489837646,66
RMU-LAT,supp_random,4.0,0.5252525252525251,-0.737363874912262,66
RMU-LAT,supp_random,8.0,0.45454545454545453,-0.6876609325408936,66
RMU-LAT,forg_dF,-4.0,0.4444444444444444,0.6333821415901184,15
RMU-LAT,forg_dF,-2.0,0.5555555555555555,1.9353516101837158,15
RMU-LAT,forg_dF,-1.0,0.5111111111111111,-0.12884114682674408,15
RMU-LAT,forg_dF,0.0,0.20000000000000004,-3.170442819595337,15
RMU-LAT,forg_dF,0.5,0.22222222222222224,-2.9296875,15
RMU-LAT,forg_dF,1.0,0.3555555555555555,-2.8661458492279053,15
RMU-LAT,forg_dF,2.0,0.35555555555555546,-2.65625,15
RMU-LAT,forg_dF,4.0,0.39999999999999997,-0.9041666388511658,15
RMU-LAT,forg_dF,8.0,0.5111111111111112,0.8833333253860474,15
