method,condition,alpha,kext,margin,nq
GradDiff,supp_expr,-1.0,0.24999999999999997,8.817060470581055,56
GradDiff,supp_expr,0.0,0.25,8.882411003112793,56
GradDiff,supp_expr,0.5,0.2738095238095238,8.921107292175293,56
GradDiff,supp_expr,1.0,0.3095238095238095,8.958356857299805,56
GradDiff,supp_expr,2.0,0.3333333333333333,9.038835525512695,56
GradDiff,supp_dS,-1.0,0.44642857142857145,10.772868156433105,56
GradDiff,supp_dS,0.0,0.25,8.882411003112793,56
GradDiff,supp_dS,0.5,0.6428571428571429,8.660086631774902,56
GradDiff,supp_dS,1.0,0.6607142857142857,4.3359375,56
GradDiff,supp_dS,2.0,0.7440476190476192,-0.6881975531578064,56
GradDiff,supp_random,-1.0,0.26190476190476186,8.894312858581543,56
GradDiff,supp_random,0.0,0.25,8.882411003112793,56
GradDiff,supp_random,0.5,0.25595238095238093,8.876813888549805,56
GradDiff,supp_random,1.0,0.244047619047619,8.869959831237793,56
GradDiff,supp_random,2.0,0.25595238095238093,8.85296630859375,56
GradDiff,forg_expr,-1.0,0.3333333333333333,8.4462890625,9
GradDiff,forg_expr,0.0,0.3703703703703704,8.683159828186035,9
GradDiff,forg_expr,0.5,0.2962962962962963,8.80723762512207,9
GradDiff,forg_expr,1.0,0.29629629629629634,8.93055534362793,9
GradDiff,forg_expr,2.0,0.18518518518518517,9.1669921875,9
